plate,row,col,org,id,stage,colour,genotype
3,A,1,Acropora,c1_1,adults,NA,c1
3,B,1,Acropora,c1_2,adults,NA,c1
3,C,1,Acropora,c3_1,adults,NA,c3
3,D,1,Acropora,c3_2,adults,NA,c3
3,E,1,Acropora,c5_1,adults,NA,c5
3,F,1,Acropora,c5_2,adults,NA,c5
3,G,1,Acropora,c6_1,adults,NA,c6
3,H,1,Acropora,c6_2,adults,NA,c6
3,A,2,Acropora,c7_1,adults,NA,c7
3,B,2,Acropora,c7_2,adults,NA,c7
3,C,2,Acropora,c8_1,adults,NA,c8
3,D,2,Acropora,c8_2,adults,NA,c8
3,E,2,Acropora,c9_1,adults,NA,c9
3,F,2,Acropora,c9_2,adults,NA,c9
3,G,2,Acropora,c10_1,adults,NA,c10
3,H,2,Acropora,c10_2,adults,NA,c10
3,A,3,Acropora,c11_1,adults,NA,c11
3,B,3,Acropora,c11_2,adults,NA,c11
3,C,3,Acropora,c12_1,adults,NA,c12
3,D,3,Acropora,c12_2,adults,NA,c12
3,E,3,Acropora,c13_1,adults,NA,c13
3,F,3,Acropora,c13_2,adults,NA,c13
3,G,3,Acropora,c14_1,adults,NA,c14
3,H,3,Acropora,c14_2,adults,NA,c14
3,A,4,Acropora,c16_1,adults,NA,c16
3,B,4,Acropora,c16_2,adults,NA,c16
3,C,4,Acropora,c17_1,adults,NA,c17
3,D,4,Acropora,c17_2,adults,NA,c17
3,E,4,Acropora,c18_1,adults,NA,c18
3,F,4,Acropora,c18_2,adults,NA,c18
3,G,4,Acropora,c19_1,adults,NA,c19
3,H,4,Acropora,c19_2,adults,NA,c19
3,A,5,Acropora,c20_1,adults,NA,c20
3,B,5,Acropora,c20_2,adults,NA,c20
3,C,5,Acropora,3_3_1,adults,NA,3_3
3,D,5,Acropora,1_10_1,adults,NA,1_10
3,E,5,Acropora,4_10_1,adults,NA,4_10
3,F,5,Acropora,4_30_1,adults,NA,4_30
3,G,5,Acropora,6_10_1,adults,NA,6_10
3,H,5,Acropora,1_30_1,adults,NA,1_30
3,A,6,Acropora,5_3_1,adults,NA,5_3
3,B,6,Acropora,6_30_2,adults,NA,6_30
3,C,6,Acropora,4_10_2,adults,NA,4_10
3,D,6,Acropora,3_30_2,adults,NA,3_30
3,E,6,Acropora,2_10_1,adults,NA,2_10
3,F,6,Acropora,4_3_1,adults,NA,4_3
3,G,6,Acropora,4_5_2,adults,NA,4_5
3,H,6,Acropora,2_5_1,adults,NA,2_5
3,A,7,Acropora,4_3_2,adults,NA,4_3
3,B,7,Acropora,5_3_2,adults,NA,5_3
3,C,7,Acropora,3_10_2,adults,NA,3_10
3,D,7,Acropora,5_5_2,adults,NA,5_5
3,E,7,Acropora,3_30_1,adults,NA,3_30
3,F,7,Acropora,5_10_2,adults,NA,5_10
3,G,7,Acropora,2_30_2,adults,NA,2_30
3,H,7,Acropora,2_3_,adults,NA,2_3
3,A,8,Acropora,6_30_1,adults,NA,6_30
3,B,8,Acropora,7_10_2,adults,NA,7_10
3,C,8,Acropora,5_30_1,adults,NA,5_30
3,D,8,Acropora,4_30_,adults,NA,4_30
3,E,8,Acropora,1_5_,adults,NA,1_5
3,F,8,Acropora,3_10_1,adults,NA,3_10
3,G,8,Acropora,7_5_1,adults,NA,7_5
3,H,8,Acropora,5_30_2,adults,NA,5_30
3,A,9,Acropora,3_3_2,adults,NA,3_3
3,B,9,Acropora,2_30_1,adults,NA,2_30
3,C,9,Acropora,4_5_1,adults,NA,4_5
3,D,9,Acropora,7_30_2,adults,NA,7_30
3,E,9,Acropora,3_5_2,adults,NA,3_5
3,F,9,Acropora,6_10_2,adults,NA,6_10
3,G,9,Acropora,1_3_,adults,NA,1_3
3,H,9,Acropora,6_5_1,adults,NA,6_5
3,A,10,Acropora,7_30_1,adults,NA,7_30
3,B,10,Acropora,7_5_2,adults,NA,7_5
3,C,10,Acropora,6_3_1,adults,NA,6_3
3,D,10,Acropora,6_5_2,adults,NA,6_5
3,E,10,Acropora,5_5_1,adults,NA,5_5
3,F,10,Acropora,6_3_2,adults,NA,6_3
3,G,10,Acropora,5_10_1,adults,NA,5_10
3,H,10,Acropora,7_10_1,adults,NA,7_10
3,A,11,Acropora,7_3_2,adults,NA,7_3
3,B,11,Acropora,7_3_1,adults,NA,7_3
1,A,1,Acropora,14,larvae,clear,c1
1,B,1,Acropora,28,larvae,clear,c1
1,C,1,Acropora,33,larvae,clear,c2
1,D,1,Acropora,29,larvae,clear,c1
