plate,row,col,org,id,stage,colour,genotype,spoke,distance
3,A,1,Acropora,c1,adults,NA,c1,c,0
3,B,1,Acropora,c1,adults,NA,c1,c,0
3,C,1,Acropora,c3,adults,NA,c3,c,0
3,D,1,Acropora,c3,adults,NA,c3,c,0
3,E,1,Acropora,c5,adults,NA,c5,c,0
3,F,1,Acropora,c5,adults,NA,c5,c,0
3,G,1,Acropora,c6,adults,NA,c6,c,0
3,H,1,Acropora,c6,adults,NA,c6,c,0
3,A,2,Acropora,c7,adults,NA,c7,c,0
3,B,2,Acropora,c7,adults,NA,c7,c,0
3,C,2,Acropora,c8,adults,NA,c8,c,0
3,D,2,Acropora,c8,adults,NA,c8,c,0
3,E,2,Acropora,c9,adults,NA,c9,c,0
3,F,2,Acropora,c9,adults,NA,c9,c,0
3,G,2,Acropora,c10,adults,NA,c10,c,0
3,H,2,Acropora,c10,adults,NA,c10,c,0
3,A,3,Acropora,c11,adults,NA,c11,c,0
3,B,3,Acropora,c11,adults,NA,c11,c,0
3,C,3,Acropora,c12,adults,NA,c12,c,0
3,D,3,Acropora,c12,adults,NA,c12,c,0
3,E,3,Acropora,c13,adults,NA,c13,c,0
3,F,3,Acropora,c13,adults,NA,c13,c,0
3,G,3,Acropora,c14,adults,NA,c14,c,0
3,H,3,Acropora,c14,adults,NA,c14,c,0
3,A,4,Acropora,c16,adults,NA,c16,c,0
3,B,4,Acropora,c16,adults,NA,c16,c,0
3,C,4,Acropora,c17,adults,NA,c17,c,0
3,D,4,Acropora,c17,adults,NA,c17,c,0
3,E,4,Acropora,c18,adults,NA,c18,c,0
3,F,4,Acropora,c18,adults,NA,c18,c,0
3,G,4,Acropora,c19,adults,NA,c19,c,0
3,H,4,Acropora,c19,adults,NA,c19,c,0
3,A,5,Acropora,c20,adults,NA,c20,c,0
3,B,5,Acropora,c20,adults,NA,c20,c,0
3,C,5,Acropora,3_3,adults,NA,3_3,3,3
3,D,5,Acropora,1_10,adults,NA,1_10,1,10
3,E,5,Acropora,4_10,adults,NA,4_10,4,10
3,F,5,Acropora,4_30,adults,NA,4_30,4,30
3,G,5,Acropora,6_10,adults,NA,6_10,6,10
3,H,5,Acropora,1_30,adults,NA,1_30,1,30
3,A,6,Acropora,5_3,adults,NA,5_3,5,3
3,B,6,Acropora,6_30,adults,NA,6_30,6,30
3,C,6,Acropora,4_10,adults,NA,4_10,4,10
3,D,6,Acropora,3_30,adults,NA,3_30,3,30
3,E,6,Acropora,2_10,adults,NA,2_10,2,10
3,F,6,Acropora,4_3,adults,NA,4_3,4,3
3,G,6,Acropora,4_5,adults,NA,4_5,4,0.5
3,H,6,Acropora,2_5,adults,NA,2_5,2,0.5
3,A,7,Acropora,4_3,adults,NA,4_3,4,3
3,B,7,Acropora,5_3,adults,NA,5_3,5,3
3,C,7,Acropora,3_10,adults,NA,3_10,3,10
3,D,7,Acropora,5_5,adults,NA,5_5,5,0.5
3,E,7,Acropora,3_30,adults,NA,3_30,3,30
3,F,7,Acropora,5_10,adults,NA,5_10,5,10
3,G,7,Acropora,2_30,adults,NA,2_30,2,30
3,H,7,Acropora,2_3,adults,NA,2_3,2,3
3,A,8,Acropora,6_30,adults,NA,6_30,6,30
3,B,8,Acropora,7_10,adults,NA,7_10,7,10
3,C,8,Acropora,5_30,adults,NA,5_30,5,30
3,D,8,Acropora,4_30,adults,NA,4_30,4,30
3,E,8,Acropora,1_5,adults,NA,1_5,1,0.5
3,F,8,Acropora,3_10,adults,NA,3_10,3,10
3,G,8,Acropora,7_5,adults,NA,7_5,7,5
3,H,8,Acropora,5_30,adults,NA,5_30,5,30
3,A,9,Acropora,3_3,adults,NA,3_3,3,3
3,B,9,Acropora,2_30,adults,NA,2_30,2,30
3,C,9,Acropora,4_5,adults,NA,4_5,4,0.5
3,D,9,Acropora,7_30,adults,NA,7_30,7,30
3,E,9,Acropora,3_5,adults,NA,3_5,3,0.5
3,F,9,Acropora,6_10,adults,NA,6_10,6,10
3,G,9,Acropora,1_3,adults,NA,1_3,1,3
3,H,9,Acropora,6_5,adults,NA,6_5,6,0.5
3,A,10,Acropora,7_30,adults,NA,7_30,7,30
3,B,10,Acropora,7_5,adults,NA,7_5,7,0.5
3,C,10,Acropora,6_3,adults,NA,6_3,6,3
3,D,10,Acropora,6_5,adults,NA,6_5,6,0.5
3,E,10,Acropora,5_5,adults,NA,5_5,5,0.5
3,F,10,Acropora,6_3,adults,NA,6_3,6,3
3,G,10,Acropora,5_10,adults,NA,5_10,5,10
3,H,10,Acropora,7_10,adults,NA,7_10,7,10
3,A,11,Acropora,7_3,adults,NA,7_3,7,3
3,B,11,Acropora,7_3,adults,NA,7_3,7,3
1,A,1,Acropora,14,larvae,clear,c1,c,0
1,B,1,Acropora,28,larvae,clear,c1,c,0
1,C,1,Acropora,33,larvae,clear,c2,c,0
1,D,1,Acropora,29,larvae,clear,c1,c,0
1,E,1,Acropora,30,larvae,clear,c1,c,0
1,F,1,Acropora,35,larvae,clear,c2,c,0
1,G,1,Acropora,31,larvae,clear,c2,c,0
1,H,1,Acropora,36,larvae,clear,c2,c,0
1,A,2,Acropora,38,larvae,clear,c2,c,0
1,B,2,Acropora,40,larvae,clear,c2,c,0
1,C,2,Acropora,41,larvae,clear,c3,c,0
1,D,2,Acropora,47,larvae,clear,c3,c,0
1,E,2,Acropora,43,larvae,clear,c3,c,0
1,F,2,Acropora,44,larvae,clear,c3,c,0
1,G,2,Acropora,45,larvae,clear,c3,c,0
1,H,2,Acropora,48,larvae,clear,c3,c,0
1,A,3,Acropora,49,larvae,clear,c3,c,0
1,B,3,Acropora,51,larvae,clear,2_3,2,3
1,C,3,Acropora,52,larvae,clear,2_3,2,3
1,D,3,Acropora,53,larvae,clear,2_3,2,3
1,E,3,Acropora,54,larvae,clear,2_3,2,3
1,F,3,Acropora,55,larvae,clear,2_3,2,3
1,G,3,Acropora,56,larvae,clear,2_3,2,3
1,H,3,Acropora,57,larvae,clear,2_3,2,3
1,A,4,Acropora,58,larvae,clear,2_3,2,3
1,B,4,Acropora,66,larvae,clear,3_05,3,0.7
1,C,4,Acropora,61,larvae,clear,2_10,2,10
1,D,4,Acropora,62,larvae,clear,3_05,3,0.7
1,E,4,Acropora,63,larvae,clear,3_05,3,0.7
1,F,4,Acropora,64,larvae,clear,3_05,3,0.7
1,G,4,Acropora,134,larvae,orange,5_05,5,0.7
1,H,4,Acropora,137,larvae,orange,5_05,5,0.7
1,A,5,Acropora,136,larvae,orange,5_05,5,0.7
1,B,5,Acropora,138,larvae,orange,5_05,5,0.7
1,C,5,Acropora,132,larvae,orange,4_30,4,30
1,D,5,Acropora,139,larvae,orange,5_05,5,0.7
